,Job_Title,Experience,Company,Scraping_Date,Salary,Location,Tags_Associated,Posting_Date
0,Accounts Executive/ Senior Associate For UK Accounting process Thane.,1-5 Yrs,Anderson Business Solutions,09/09/2022,"2,75,000 - 4,50,000 PA.","Thane, Navi Mumbai, Mumbai (All Areas)(Ghodbunder Road)",Accounting,1 Day Ago
1,Associate/ Senior Associate  in UK Accounts/ Thane,1-4 Yrs,Anderson Business Solutions,09/09/2022,"2,25,000 - 4,50,000 PA.","Thane, Navi Mumbai, Mumbai (All Areas)(Ghodbunder Road)",Accounting,1 Day Ago
2,Executive/ Senior Accounts Executive/ Assistant Accounts Manager,0-4 Yrs,Mewar Hospital,09/09/2022,"3,00,000 - 5,50,000 PA.",Udaipur,accounting,2 Days Ago
3,Senior audit manager/Accounts manager/Accounts exective/Admin exe(Fem),0-5 Yrs,Manohar Chowdhry and Associates,09/09/2022,"1,00,000 - 5,00,000 PA.",Madurai,Accounts Finalisation,7 Days Ago
4,"CA, Accounts Manager, Accounts Executive",0-5 Yrs,ANKUSH AGGARWAL & CO (Chartered Accountants),09/09/2022,Not disclosed,"Ghaziabad(Vaishali +1), Delhi / NCR(Anand Vihar)",Chartered Accountant,2 Days Ago
5,Account Manager - Retail,0-2 Yrs,Swiggy,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Chennai",Business Development,2 Days Ago
6,Hiring Fresher - Accounts Executive (US Payroll),0-2 Yrs,SVK Global Solutions,09/09/2022,"50,000 - 3,00,000 PA.",Hyderabad/Secunderabad(Madhapur),us payroll,1 Day Ago
7,Job opportunity For the role of Senior Executive Chartered Accountant,0-2 Yrs,Encube Ethicals,09/09/2022,Not disclosed,Mumbai,chartered accountant,2 Days Ago
8,Account Executive,0-5 Yrs,M/S VASTRAA FUSION ENTERPRISES ,09/09/2022,"2,25,000 - 3,50,000 PA.",Delhi / NCR,Tally Accounting,5 Days Ago
9,Accounts executive-MBA Fresher,0-1 Yrs,Shahi,09/09/2022,Not disclosed,Faridabad,Finance,6 Days Ago
10,Process Executive - Accounting,0-0 Yrs,Cognizant,09/09/2022,"1,75,000 - 2,00,000 PA.",Pune,Communication Skills,7 Days Ago
11,Accounts Trainee - Finance Operations,0-1 Yrs,BYJUS,09/09/2022,"1,00,000 - 3,00,000 PA.",Bangalore/Bengaluru(Bannerghatta Road),accounting,2 Days Ago
12,Associate/Sr. Associate For Accounts Receivable For Mumbai Location,0-4 Yrs,WNS Global Services,09/09/2022,Not disclosed,Mumbai (All Areas),Accounts Receivable,7 Days Ago
13,Account Executive - Inside Sales,0-5 Yrs,Collabera Services Private Limited   ,09/09/2022,Not disclosed,Vadodara,Sales,1 Day Ago
14,Accounts Executive/ Commercial Trainee,0-3 Yrs,FANUC,09/09/2022,Not disclosed,Bangalore/Bengaluru,accounting,Few Hours Ago
15,Urgent Requirement For Accounts Executive,0-3 Yrs,Buycement,09/09/2022,"2,00,000 - 3,00,000 PA.",Hyderabad/Secunderabad,Debtors Reconciliation,1 Day Ago
16,Accounts Executive (Banking Personnel ),0-4 Yrs,Pramila Projects,09/09/2022,"1,25,000 - 2,00,000 PA.",Bhubaneswar,Tally ERP,1 Day Ago
17,Architect/Interior Designer (Mumbai Candidates only),0-2 Yrs,Lemon Tree design,09/09/2022,"1,75,000 - 2,50,000 PA.",Mumbai (All Areas),Sketchup,10 Days Ago
